,Text ID,Title,Negative,Neutral,Positive,Geopolitical Entities
204,4020,Obama and Putin outline competing visions on Syria,0.0,0.787,0.213,Syria
210,1597,Trump treads on tradition in New Hampshire,0.0,1.0,0.0,New Hampshire
212,2640,"Cleveland, Justice Department Reach Policing Deal",0.0,0.471,0.529,Cleveland
218,800,"Sanders, Trump easily win West Virginia primary; Trump picks up Nebraska too",0.0,0.617,0.383,Nebraska
221,3638,US officials scanning terror databases in search for Paris attack suspects,0.527,0.473,0.0,US; Paris
223,2845,Obama: Syria war unlikely to end during his presidency,0.328,0.672,0.0,Syria
224,317,'Blue and Brave': Illinois town rallies around police as search for officer's killer goes on,0.208,0.628,0.164,Illinois
229,3327,State Department admits to deliberately cutting briefing footage on Iran deal,0.118,0.709,0.173,Iran
230,4147,"U.S. Economy Added 271,000 Jobs In October, Beating Expectations",0.273,0.727,0.0,US
231,751,"Hillary Clinton narrowly wins Kentucky, a state Bernie Sanders needed by huge margins",0.0,0.647,0.353,Kentucky
233,3664,49 killed in shooting at Florida nightclub in possible act of Islamic terror,0.418,0.582,0.0,Florida
236,4359,"Obama seeks global climate pact in Paris, amid resistance at home",0.0,1.0,0.0,Paris
243,5237,"Clinton and Trump: How they view ISIS, Putin, and US generals",0.0,1.0,0.0,US
247,5060,'America is already strong': Obama continues Democrats' optimism,0.0,0.469,0.531,America
249,2822,Hillary Clinton: ‘No role whatsoever for American soldiers on the ground’ in Iraq,0.0,1.0,0.0,Iraq
261,2619,"Netanyahu: Iran A Threat to Israel, the World",0.327,0.673,0.0,Iran; Israel
268,3134,The end of white Christian America is nigh: Why the country’s youth are abandoning religious conservatism,0.148,0.852,0.0,America
271,3982,"Architect Of Paris Attacks Was Killed In Raid, French Authorities Say",0.451,0.549,0.0,Paris
276,1479,Carson takes lead from Trump in new national poll,0.0,1.0,0.0,Carson
284,1171,"Trump, Clinton Head Into SC with Fierce Competition on Their Heels",0.0,1.0,0.0,SC
290,4431,"Obama outlines plan to keep 5,500 troops in Afghanistan",0.0,1.0,0.0,Afghanistan
295,3,"Trump, Clinton clash in dueling DC speeches",0.0,1.0,0.0,DC
296,4561,'NO CAMP! NO CAMP!': Scuffles break out at Hungary train station after police stop migrant train,0.29,0.71,0.0,Hungary
298,479,Will Asia trade deal hurt US workers? Six tough questions answered.,0.353,0.647,0.0,US
300,4246,Democrats Clinton and Sanders pounce on Flint water crisis — and each other,0.255,0.745,0.0,Flint
309,2497,"United States v. Texas, the biggest immigration case in a century, explained",0.0,0.797,0.203,United States; Texas
311,3870,White House Monitoring Iran Aid Ship to Yemen,0.0,1.0,0.0,Iran; Yemen
313,1115,"Trump, Sanders trade blame over Chicago protests",0.462,0.538,0.0,Chicago
315,2768,"The Saber Rattling Between Saudis, Iran Just Got More Ominous",0.23,0.77,0.0,Iran
319,109,"U.S. Split Along Racial Lines on Backlash Against Police, Poll Finds",0.0,1.0,0.0,US
326,3682,3 dead in Colorado Springs Planned Parenthood shooting,0.381,0.619,0.0,Colorado Springs
328,2139,Fiorina blames environmentalists for California drought,0.351,0.649,0.0,California
335,4088,U.S. Congressional Delegation travels to Cuba this weekend,0.0,1.0,0.0,US; Cuba
339,2786,Afghanistan: 19 die in air attacks on hospital; U.S. investigating,0.459,0.541,0.0,Afghanistan; US
349,2588,Israel hawks to Pope Francis: Stay out of politics,0.0,1.0,0.0,Israel
358,324,Manhunt shifts to lone cabin in upstate New York: Prisoner hideout?,0.384,0.616,0.0,New York
361,4050,"US pullout from Yemen eases pressure on Al Qaeda, lawmakers warn",0.259,0.576,0.165,US; Yemen
363,3897,Secret Service testing ways to intercept rogue drones with late-night flights over Washington,0.0,1.0,0.0,Washington
364,3761,Source: Baltimore mayor ordered police to stand down,0.0,1.0,0.0,Baltimore
368,126,Oklahoma Fraternity Is Closed Over Video Of Racist Chant,0.333,0.667,0.0,Oklahoma
370,1059,A whirlwind day in D.C. showcases Trump’s unorthodox views and shifting tone,0.0,1.0,0.0,DC
372,2211,Iran Nuclear Deal: Does Obama want Israel to commit suicide?,0.3,0.467,0.233,Israel
376,2086,Paris climate summit: What to expect from historic talks,0.0,1.0,0.0,Paris
381,2624,Netanyahu warns Iran deal could 'threaten the survival' of Israel,0.333,0.667,0.0,Iran; Israel
387,3764,Police morale can wait: How the Baltimore riots should reshape Attorney General Loretta Lynch’s agenda,0.191,0.809,0.0,Baltimore
390,131,Obama On Baltimore: 'This Is Not New',0.0,1.0,0.0,Baltimore
392,4047,Why Greece and Iran seem willing to take on the world (+video),0.0,1.0,0.0,Greece; Iran
394,4027,Obama: U.S. cannot solve the world's problems alone,0.557,0.443,0.0,US
399,3821,Obama’s trip to Ethiopia alarms some human rights activists,0.208,0.792,0.0,Ethiopia
402,5236,Kentucky governor: Electing Hillary Clinton may eventually lead to violence,0.313,0.687,0.0,Kentucky
408,4052,"In Jamaica, Obama indicates that he will remove Cuba from terrorism list",0.295,0.705,0.0,Jamaica; Cuba
414,4434,"With Another Deadline Looming, Whispers Of Iran Nuclear Deal Emerge",0.143,0.857,0.0,Iran
419,1241,Clinton braces for Nevada nail-biter,0.0,1.0,0.0,Nevada
422,756,"Donald Trump, president of the Confederacy: The Southern strategy created the GOP civil war",0.218,0.67,0.112,Confederacy
427,2905,US faces calls to ‘walk away’ from Iran talks,0.0,1.0,0.0,US; Iran
430,3666,San Bernardino massacre: A horror that affects us all,0.316,0.684,0.0,San Bernardino
431,2219,Netanyahu's Iran Speech: Why it's important for Congress to at least listen to Israel's leader,0.0,0.886,0.114,Iran; Israel
437,2087,Why Negotiators At Paris Climate Talks Are Tossing The Kyoto Model,0.0,1.0,0.0,Paris; Kyoto
439,3247,"In Rand Paul and Marco Rubio’s feud over Cuba policy, a preview of GOP’s 2016 foreign policy debate",0.124,0.876,0.0,Cuba
440,2844,Jeb Bush blames Iraq unrest on Obama,0.31,0.69,0.0,Iraq
441,3622,Al Qaeda rep says group directed Paris magazine attack; US issues travel warning,0.333,0.667,0.0,Paris; US
443,3736,"In Baltimore's call for federal police probe, a new search for answers (+video)",0.0,1.0,0.0,Baltimore
444,4306,The Iowa caucuses are closer than you think,0.0,1.0,0.0,Iowa
445,3974,Entering U.S. as refugees would be hard for terrorists,0.44,0.56,0.0,US
448,1364,Iowa nightmare revisited: Was correct winner called on caucus night?,0.0,0.703,0.297,Iowa
452,2258,Watch: Obama criticizes Kenya's president on gay rights as they stand right by each other,0.146,0.854,0.0,Kenya
457,736,Who's winning Indiana? It's anybody's guess,0.0,0.595,0.405,Indiana
459,3691,Unravelling Chattanooga: What do we know about shooter?,0.0,1.0,0.0,Chattanooga
463,849,Trump ups the ante in Indiana,0.0,1.0,0.0,Indiana
467,3957,Russia deploys missiles in Syria after Turkey shoots down bomber,0.0,1.0,0.0,Russia; Syria; Turkey
468,4268,Marco Rubio self-destructs in New Hampshire,0.0,1.0,0.0,New Hampshire
474,4076,"Terror attack over, 147 dead at Kenya university",0.684,0.316,0.0,Kenya
476,2921,Why the Iraq offensive will fail,0.619,0.381,0.0,Iraq
478,3067,Congress Undermines U.S. Global Economic Standing,0.324,0.676,0.0,US
479,2912,Iran nuclear talks: What if the deal falls through?,0.0,1.0,0.0,Iran
488,2735,Brian Williams Under Fire Over His Shifting Story Of Iraq Helicopter Attack,0.355,0.645,0.0,Iraq
495,322,"David Sweat shot, captured alive after New York manhunt",0.0,0.755,0.245,New York
496,2797,"Obama opens up on Iran: What he's learned about war, Republicans, and his foreign policy",0.218,0.782,0.0,Iran
499,144,Barack Obama Marks 50th Anniversary Of 'Bloody Sunday' With Powerful Speech In Selma,0.174,0.659,0.168,Selma
502,3946,"US sailors freed by Iranians. No US apology issued, says Joe Biden",0.222,0.598,0.179,US; US
507,382,Canada Just Threw A Grenade Into Elizabeth Warren's Trade Fight With Obama,0.191,0.809,0.0,Canada
510,2877,"White House, Dems seek to water down Iran bill",0.0,1.0,0.0,Iran
512,2186,Congress's fight over Iran deal enters new phase,0.271,0.729,0.0,Iran
513,4759,Why LeBron James’s Endorsement Could Help Clinton Retake Ohio,0.0,0.583,0.417,Ohio
515,2421,Cuba has a possible lung cancer vaccine that America can now test,0.286,0.714,0.0,Cuba; America
517,2863,Iran talks to be extended another day,0.0,1.0,0.0,Iran
519,4429,"Kurdish forces, backed by U.S. airstrikes, launch offensive in Iraq",0.248,0.661,0.091,US; Iraq
520,1020,"As Always, U.S. Adores a Good Sex Scandal",0.216,0.373,0.41,US
521,4030,Migrants Refuse To Leave Train At Refugee Camp In Hungary,0.298,0.702,0.0,Hungary
526,2806,"A nuclear deal has been reached, but Iran must free Jason Rezaian",0.0,0.639,0.361,Iran
527,1734,"South Carolina, Nevada polls find Clinton far ahead",0.0,1.0,0.0,South Carolina; Nevada
536,1630,GOP Candidates Say Paris Attacks Highlight U.S. Leadership Failure,0.425,0.411,0.164,Paris; US
539,3127,The Pope vs. America,0.0,1.0,0.0,America
547,2291,The Fear of Being Gay in Russia,0.348,0.652,0.0,Russia
551,1386,"Iowa caucus results: Ted Cruz wins, Hillary Clinton declares victory",0.0,0.709,0.291,Iowa
557,1326,4 Things The New Hampshire Primary Will Tell Us,0.0,1.0,0.0,New Hampshire
565,4542,"Obama's Presidential Library Will Be In Chicago, Foundation Announces",0.0,1.0,0.0,Chicago
566,4373,Republicans are crossing a dangerous new line: sabotaging US foreign policy,0.237,0.763,0.0,US
569,1247,"Jeb’s Sad, Quixotic South Carolina Slog",0.383,0.617,0.0,South Carolina
570,3991,"U.S. strike believed to have killed ‘Jihadi John,’ Islamic State executioner",0.4,0.6,0.0,US
572,2527,Alabama Sen. Sessions Backs Trump’s Immigration Platform,0.167,0.833,0.0,Alabama
578,3124,"After tragic shooting, Charleston church reopens with prayer, songs and tears",0.353,0.647,0.0,Charleston
579,4016,Acting out of weakness? Why Obama's dangerously wrong about Putin's intentions in Syria,0.471,0.529,0.0,Syria
588,668,Was California The Last Weekend At Bernie's House Of Hope?,0.0,0.756,0.244,California
592,5195,More anti-Trump action planned after second night of protests across US,0.16,0.84,0.0,US
598,469,Neither Bush nor Rubio is placing above 4th in Iowa or New Hampshire,0.0,1.0,0.0,Iowa; New Hampshire
600,4567,"Shift in Cuba politics boosts Obama, challenges Rubio",0.0,0.625,0.375,Cuba
602,1929,Scott Walker’s economic mess: How worker wages were gutted in Wisconsin,0.2,0.8,0.0,Wisconsin
603,2124,California slashes water use for upstate farmers,0.231,0.769,0.0,California
607,590,Matt Bevin is the next governor of Kentucky. He has President Obama to thank.,0.0,0.839,0.161,Kentucky
614,2009,Rubio reignites Cuba debate with Senate hearing,0.0,1.0,0.0,Cuba
616,3778,Patriots Day 2015: Boston does not stand alone,0.0,0.801,0.199,Boston
619,2948,"Saudi Arabia's King Abdullah was incremental reformer, US ally (+video)",0.0,1.0,0.0,Saudi Arabias; US
624,5085,The Democrats aren’t doomed: What I learned from Bernie delegates in Philadelphia,0.276,0.724,0.0,Philadelphia
625,3524,Enrique Marquez: I got rifles for San Bernardino killer,0.35,0.65,0.0,San Bernardino
631,4430,"In rare foreign trip, Assad flies to Moscow to meet with Putin",0.0,1.0,0.0,Moscow
635,4409,Justice Department Launches Civil Rights Probe Of Baltimore Police,0.0,0.702,0.298,Baltimore
637,4223,"Sanders wins in Wisconsin, keeping alive his improbable bid for the nomination",0.0,0.613,0.387,Wisconsin
639,4247,South Carolina primary brings high stakes for Marco Rubio and Jeb Bush,0.0,1.0,0.0,South Carolina
644,551,'We the People' is at risk: Why America needs civics education,0.174,0.826,0.0,America
645,2998,NSA program reportedly helped US gather evidence against North Korea in Sony hack,0.0,1.0,0.0,US; North Korea
646,1047,"Donald Trump triumphs in Michigan and Mississippi. Onward, reality show junkies",0.0,0.769,0.231,Michigan; Mississippi
652,1437,"Iowa’s Des Moines Register endorses Clinton, Rubio",0.0,0.714,0.286,Iowa; Des Moines Register
653,2889,White House looks to scientists to sell Iran deal,0.0,1.0,0.0,Iran
655,2843,Lawmakers Who Have Forgotten Iraq Insist They're Right About Iran,0.174,0.826,0.0,Iraq; Iran
663,3981,21 dead at Radison Blu hotel in Mali,0.381,0.619,0.0,Mali
666,2378,Here's why creating single-payer health care in America is so hard,0.122,0.524,0.354,America
668,3058,The Iran Deal and the Cost of Political Polarization | RealClearPolitics,0.0,1.0,0.0,Iran
671,4157,Teacher sickout closes most Detroit schools Monday,0.0,1.0,0.0,Detroit
675,1705,"Sanders focuses on gun violence, immigration as 13,000 attend Arizona rally",0.419,0.581,0.0,Arizona
682,3769,Camden Yards briefly closed off as Freddie Gray protests intensify in Baltimore,0.147,0.853,0.0,Baltimore
686,3759,"On The Streets Of Baltimore, Trying To Understand The Anger",0.291,0.709,0.0,Baltimore
688,4554,Russia Calls Downing Of Its Plane A 'Planned Provocation',0.0,1.0,0.0,Russia
689,2392,9th baby dies after heart surgery at a Florida hospital,0.0,0.682,0.318,Florida
692,3105,Pope brings message of brotherly love to Philadelphia,0.0,0.625,0.375,Philadelphia
697,345,Cory Booker on how America's criminal justice system destroys the American dream,0.343,0.392,0.265,America
699,2911,Expert: ISIL 'highly likely' to launch gas attack in London,0.256,0.744,0.0,London
704,5233,"Clinton, Trump at First Debate: Was It All America Expected?",0.0,1.0,0.0,America
708,3766,Baltimore protests: Crowds stand firm after curfew,0.241,0.759,0.0,Baltimore
710,2796,I live in Iran. Here's how sanctions have shaped my life.,0.0,1.0,0.0,Iran
711,4562,Russia begins airstrikes in Syria; U.S. warns of new concerns in conflict,0.27,0.73,0.0,Russia; Syria; US
713,2660,Walker’s anti-union law has labor reeling in Wisconsin,0.0,1.0,0.0,Wisconsin
718,2616,Netanyahu Defeats Center-Left Rival In Israel's Parliamentary Election,0.247,0.753,0.0,Israel
726,4529,Chattanooga shooting proves it's time to arm our Armed Forces,0.0,1.0,0.0,Chattanooga
727,3693,"Names of Oregon victims released, range in age from 18 to 67",0.173,0.827,0.0,Oregon
729,4378,Kentucky Clerk's Office Issues Same-Sex Marriage License,0.0,1.0,0.0,Kentucky
735,3701,At least nine protesters arrested after St. Louis police shooting,0.385,0.615,0.0,St Louis
736,3680,Workplace Violence or Terrorism? CA Massacre Probe Unfolds,0.592,0.408,0.0,CA
738,2935,U.S. provides options for drawdown of forces in Afghanistan amid ISIS fears,0.203,0.797,0.0,US; Afghanistan
744,2951,"Airstrikes Move To Syria, Target More Than Just ISIS",0.0,1.0,0.0,Syria
745,416,Top US lawmakers strike deal to fast-track trade deals,0.146,0.68,0.175,US
748,3347,ISIS Genocide: Will US Back Up Its Tough Talk?,0.158,0.842,0.0,US
755,3994,U.S. officials: No known threat in wake of Paris attack,0.352,0.464,0.184,US; Paris
758,3523,"U.S. is hitting Islamic State 'harder than ever,' Obama says",0.0,1.0,0.0,US
765,2949,Saudi Arabia says farewell to King Abdullah,0.0,1.0,0.0,Saudi Arabia
769,3415,Scalia lies in repose at Supreme Court,0.246,0.439,0.316,Scalia
772,4837,"Sorry, America, but Trump Can Actually Win",0.101,0.441,0.458,America
774,397,Syria casts shadows on 2016 Dems,0.0,1.0,0.0,Syria
775,1012,Wisconsin primary: 5 things to watch,0.0,1.0,0.0,Wisconsin
801,2883,John Kerry Says It's Unclear Whether Iran Deal Is Within Reach,0.165,0.744,0.091,Iran
802,2785,Syria's war: How did we get here?,0.394,0.606,0.0,Syria
811,3341,The real reason the State Dept is Twitter fighting with the NY Times about Iran,0.152,0.848,0.0,Iran
818,2784,Iraq says it bombed Islamic State leader's convoy,0.0,1.0,0.0,Iraq
820,2351,"If Guns Make Us Safer, Why Not Let Them Into the U.S. Capitol?",0.0,0.811,0.189,US
823,4571,"Behind anti-Trump protests, worries that America's promise has dimmed (+video)",0.336,0.5,0.164,America
826,4913,"Trump Campaign Bombs in Virginia, Again",0.0,1.0,0.0,Virginia
830,2932,Battle against Islamic State expands as Egypt bombs Libyan affiliate,0.217,0.667,0.117,Egypt
832,4408,Israel votes: Netanyahu's last-ditch vow to his base – a dead peace process (+video),0.217,0.606,0.177,Israel
836,4565,US military commander: Russian military ‘far more capable’ than Soviet Union’s,0.0,1.0,0.0,US; Soviet Union’s
838,3634,The Latest On Paris Attack: Manhunt Continues; Brothers Were On No-Fly List,0.22,0.78,0.0,Paris
839,2356,Clinton calls for 'common-sense' gun control after Charleston terrorist attack,0.593,0.407,0.0,Charleston
840,2270,Ireland's historic vote for marriage equality prompts amazing Twitter celebration,0.0,0.703,0.297,Ireland
857,2122,How America is quietly becoming a climate change leader,0.0,1.0,0.0,America
860,705,"Pro-Trump, anti-Trump groups clash in San Diego",0.0,1.0,0.0,San Diego
873,3961,"Turkey, Russia Headed for a Military Face-Off?",0.0,1.0,0.0,Turkey; Russia
881,985,Cruz Crushes Trump in Wyoming Republican Caucus,0.326,0.674,0.0,Wyoming
884,858,Cruz confronts pro-Trump protesters in Indiana: ‘He’s taking advantage of you’,0.275,0.58,0.145,Indiana
885,413,U.S. officials optimistic they will close giant trade deal,0.0,0.777,0.223,US
887,2632,"Cleveland police are out of control, say the feds. Now they're making a deal to change.",0.0,1.0,0.0,Cleveland
892,3136,Emotional Service Held At Charleston Church Days After Shootings,0.0,0.833,0.167,Charleston
898,4164,America’s looming freak show: How GOP control in 2015 will terrorize a nation – with no political repercussion,0.438,0.562,0.0,America
899,3949,Russia plays down idea of coalition with West to strike ISIS in Syria,0.103,0.759,0.138,Russia; Syria
905,984,Strong organization helps Cruz dominate Colorado delegate hunt,0.121,0.403,0.476,Colorado
916,2868,Old rivals Obama and McCain tussle over Iran,0.0,1.0,0.0,Iran
921,4516,ISIS claim responsibility for shooting at Texas Muhammad cartoon contest,0.0,1.0,0.0,Texas
929,2221,Obama's long-view foreign policy: why he thinks the US can bend the arc of history,0.0,1.0,0.0,US
931,1490,Why California's drought hasn't sent food prices soaring,0.0,1.0,0.0,California
937,1279,"Trump and Sanders win: We are witnessing a full scale revolt, America",0.0,0.743,0.257,America
938,2825,Does Kerry want an Iran deal too much?,0.0,0.843,0.157,Iran
939,2304,Russia May Deny LGBT Driver's Licenses,0.324,0.676,0.0,Russia
940,1231,"Cruz, Trump and Rubio win in Iowa. And now we know who the losers are, too...",0.16,0.66,0.179,Iowa
941,3715,Black faith is under attack: How to make sense of white supremacy’s Charleston crimes,0.173,0.67,0.156,Charleston
942,2835,Bashar al-Assad is losing ground in Syria,0.302,0.698,0.0,Syria
945,4038,Turkey expands anti-Islamic State campaign,0.0,0.741,0.259,Turkey
947,3501,How come the US keeps killing ISIS No. 2s?,0.355,0.645,0.0,US
952,3500,"Suicide Blast at Park Leaves More Than 50 Dead in Lahore, Pakistan",0.475,0.525,0.0,Lahore; Pakistan
955,2214,"If Congress rejects nuclear deal, would US be the pariah? (+video)",0.242,0.758,0.0,US
956,5019,Trump Reboot? Business Mogul Vows to 'Jumpstart' US Economy,0.0,1.0,0.0,US
958,3762,Calm Envelopes Baltimore as Curfew Begins,0.0,0.685,0.315,Baltimore
959,861,Protesters take to streets after Trump rally in California,0.192,0.808,0.0,California
961,3871,Obama to Try to Allay Gulf Nation Leaders' Fears about Iran,0.219,0.781,0.0,Iran
963,2795,Obama's Iran deal is now near certain to survive Congress,0.0,0.811,0.189,Iran
964,3911,"Biden says Ukrainians 'have a right to defend themselves,' mum on US sending weapons",0.182,0.818,0.0,US
970,3951,Germany's Merkel backs tighter refugee rules amid sex assault protests,0.496,0.504,0.0,Germany
973,685,"Bernie Sanders, Hillary Clinton battle for California",0.302,0.698,0.0,California
979,3880,U.S. drone strike accidentally killed 2 hostages,0.677,0.323,0.0,US
980,2625,Iran calls for assassination of Netanyahu's children,0.394,0.606,0.0,Iran
982,3771,Arrest Made In Connection To Ferguson Police Shooting,0.255,0.745,0.0,Ferguson
984,3429,Worst job in Washington: Obama's SCOTUS pick,0.406,0.594,0.0,Washington
987,4486,"Memorial Day provides respite from VA controversies, even as new issue brews",0.0,1.0,0.0,VA
989,3572,The real reasons Iran is so committed to its nuclear program,0.0,0.785,0.215,Iran
998,3521,Beyond Syria and Iraq: ISIS is losing ground around the world,0.206,0.794,0.0,Syria; Iraq
1000,3954,Putin Says Will Not Abandon Russians in Ukraine to Nationalists,0.0,0.789,0.211,Ukraine
1006,606,Kentucky election could blot an Obamacare bright spot,0.0,0.707,0.293,Kentucky
1008,1450,GOP candidates fight for spotlight ahead of Milwaukee debate,0.245,0.755,0.0,Milwaukee
1009,2072,DR. MANNY: Water crisis in Flint is just the tip of the iceberg,0.255,0.745,0.0,Flint
1012,1663,Jeb sides with brother on invading Iraq: Was he ducking the question?,0.0,1.0,0.0,Iraq
1018,5103,No Brotherly Love in Philly: Email Scandal Threatens to Mar DNC,0.613,0.387,0.0,Philly
1026,947,"Clinton, Sanders Let Loose in New York Debate | RealClearPolitics",0.204,0.796,0.0,New York
1035,2913,"Gen. Petraeus: Biggest threat to Iraq's stability is Iran-backed militias, not ISIS",0.236,0.764,0.0,Iraq; Iran
1036,3677,4 students arrested for Calif. school shooting plot,0.307,0.693,0.0,Calif
1038,248,11 Benghazi takeaways: One for each hour,0.0,1.0,0.0,Benghazi
1042,2202,Lessons from Obama's deal with Iran,0.0,1.0,0.0,Iran
1044,2530,Donald Trump to trek U.S.-Mexico border Thursday,0.0,1.0,0.0,USMexico
1046,1596,Donald Trump would ‘strongly consider’ closing some mosques in the United States,0.0,0.797,0.203,the United States
1047,3563,FBI’s brazen terrorism lie: What the Boston Marathon bombing trial reveals about America’s deluded terror narrative,0.364,0.636,0.0,America
1063,3690,"Police Use Tear Gas, Arrest 9 During Protests In St. Louis",0.323,0.677,0.0,St Louis
1064,1075,Kasich’s Ohio Win Pushes G.O.P. Race Closer to Chaotic Convention,0.213,0.533,0.253,Ohio
1072,4363,Is US now a climate change leader? How Obama's new plan measures up.,0.0,1.0,0.0,US
1074,1385,Why America might elect a president it doesn't like,0.209,0.791,0.0,America
1083,2928,"Retaliating For Killings, Egypt Launches Airstrikes Against ISIS In Libya",0.333,0.667,0.0,Egypt; Libya
1084,2353,President Obama wants to disarm America,0.0,1.0,0.0,America
1088,2601,Netanyahu blasts Obama's Iran nuclear deal,0.0,1.0,0.0,Iran
1093,4255,"MSNBC, DNC reach deal to host Democratic debate in New Hampshire",0.0,0.901,0.099,New Hampshire
1098,2623,7 Times Obama Failed to Support Israel,0.3,0.455,0.245,Israel
1100,3330,State Dept. Admits Official Censored Sensitive Iran Nuclear Deal Video,0.136,0.678,0.186,Iran
1101,600,"Election results: Bevin wins in Kentucky, Ohio rejects pot",0.23,0.504,0.266,Kentucky; Ohio
1103,2489,British firm aims to open immigration detention center near US-Mexico border,0.2,0.8,0.0,US
1107,4055,Rout has Ukraine pleading for peacekeepers,0.0,0.658,0.342,Ukraine
1113,4060,Rural Nepal devastated by earthquake still awaits aid,0.354,0.531,0.115,Nepal
1115,1616,Rubio battles Cruz for Iowa edge,0.342,0.658,0.0,Iowa
