,Text,Negative,Neutral,Positive,Subjectivity,Polarity
99,"and remember we took your covenant and we raised above you (the towering height) of mount (sinai): (saying): ""hold firmly to what we have given you, and hearken (to the law)"": they said:"" we hear, and we disobey:"" and they had to drink into their hearts (of the taint) of the calf because of their faithlessness. say: ""vile indeed are the behests of your faith if ye have any faith!""",0.084,0.792,0.124,0.5,-0.3333333333333333
100,"say: ""if the last home, with allah, be for you specially, and not for anyone else, then seek ye for death, if ye are sincere.""",0.132,0.777,0.091,0.37936507936507935,0.28571428571428575
101,"but they will never seek for death, on account of the (sins) which their hands have sent on before them. and allah is well-acquainted with the wrong-doers.",0.12,0.753,0.127,0.0,0.0
102,"thou wilt indeed find them, of all people, most greedy of life,-even more than the idolaters: each one of them wishes he could be given a life of a thousand years: but the grant of such life will not save him from (due) punishment. for allah sees well all that they do.",0.152,0.733,0.115,0.46875,0.21875
103,"say: whoever is an enemy to gabriel-for he brings down the (revelation) to thy heart by allah's will, a confirmation of what went before, and guidance and glad tidings for those who believe,-",0.086,0.737,0.177,0.6444444444444445,0.17222222222222222
104,"whoever is an enemy to allah and his angels and messengers, to gabriel and michael,- lo! allah is an enemy to those who reject faith.",0.296,0.621,0.083,0.0,0.0
105,we have sent down to thee manifest signs (ayat); and none reject them but those who are perverse.,0.173,0.75,0.076,0.2888888888888889,-0.15555555555555559
106,"is it not (the case) that every time they make a covenant, some party among them throw it aside?- nay, most of them are faithless.",0.072,0.83,0.097,0.5,0.5
107,"and when there came to them a messenger from allah, confirming what was with them, a party of the people of the book threw away the book of allah behind their backs, as if (it had been something) they did not know!",0.027,0.905,0.068,0.7,-0.5
108,"they followed what the evil ones gave out (falsely) against the power of solomon: the blasphemers were, not solomon, but the evil ones, teaching men magic, and such things as came down at babylon to the angels harut and marut. but neither of these taught anyone (such things) without saying: ""we are only for trial; so do not blaspheme."" they learned from them the means to sow discord between man and wife. but they could not thus harm anyone except by allah's permission. and they learned what harmed them, not what profited them. and they knew that the buyers of (magic) would have no share in the happiness of the hereafter. and vile was the price for which they did sell their souls, if they but knew!",0.168,0.775,0.057,0.7088888888888889,-0.06805555555555558
109,"if they had kept their faith and guarded themselves from evil, far better had been the reward from their lord, if they but knew!",0.092,0.685,0.222,0.775,0.03125
110,"o ye of faith! say not (to the messenger) words of ambiguous import, but words of respect; and hearken (to him): to those without faith is a grievous punishment.",0.278,0.576,0.145,1.0,-0.8
111,"it is never the wish of those without faith among the people of the book, nor of the pagans, that anything good should come down to you from your lord. but allah will choose for his special mercy whom he will - for allah is lord of grace abounding.",0.056,0.732,0.212,0.4867724867724868,0.3005291005291005
112,"none of our revelations do we abrogate or cause to be forgotten, but we substitute something better or similar: knowest thou not that allah hath power over all things?",0.045,0.836,0.119,0.45,0.25
113,knowest thou not that to allah belongeth the dominion of the heavens and the earth? and besides him ye have neither patron nor helper.,0.0,0.831,0.169,0.0,0.0
114,"would ye question your messenger as moses was questioned of old? but whoever changeth from faith to unbelief, hath strayed without doubt from the even way.",0.039,0.752,0.208,0.2,0.1
115,"quite a number of the people of the book wish they could turn you (people) back to infidelity after ye have believed, from selfish envy, after the truth hath become manifest unto them: but forgive and overlook, till allah accomplish his purpose; for allah hath power over all things.",0.063,0.74,0.196,0.5,-0.25
116,"and be steadfast in prayer and regular in charity: and whatever good ye send forth for your souls before you, ye shall find it with allah: for allah sees well all that ye do.",0.0,0.754,0.246,0.49230769230769234,0.3666666666666667
117,"and they say: ""none shall enter paradise unless he be a jew or a christian."" those are their (vain) desires. say: ""produce your proof if ye are truthful.""",0.181,0.732,0.088,0.25,0.25
118,"nay,-whoever submits his whole self to allah and is a doer of good,- he will get his reward with his lord; on such shall be no fear, nor shall they grieve.",0.0,0.703,0.297,0.5,0.3
119,"the jews say: ""the christians have naught (to stand) upon; and the christians say: ""the jews have naught (to stand) upon."" yet they (profess to) study the (same) book. like unto their word is what those say who know not; but allah will judge between them in their quarrel on the day of judgment.",0.0,0.968,0.032,0.125,0.0
120,"and who is more unjust than he who forbids that in places for the worship of allah, allah's name should be celebrated?-whose zeal is (in fact) to ruin them? it was not fitting that such should themselves enter them except in fear. for them there is nothing but disgrace in this world, and in the world to come, an exceeding torment.",0.128,0.799,0.073,0.5,0.08333333333333333
121,"to allah belong the east and the west: whithersoever ye turn, there is the presence of allah. for allah is all-pervading, all-knowing.",0.0,1.0,0.0,0.0,0.0
122,"they say: ""allah hath begotten a son"": glory be to him.-nay, to him belongs all that is in the heavens and on earth: everything renders worship to him.",0.0,0.749,0.251,0.0,0.0
123,"to him is due the primal origin of the heavens and the earth: when he decreeth a matter, he saith to it: ""be,"" and it is.",0.0,0.863,0.137,0.375,-0.125
124,"say those without knowledge: ""why speaketh not allah unto us? or why cometh not unto us a sign?"" so said the people before them words of similar import. their hearts are alike. we have indeed made clear the signs unto any people who hold firmly to faith (in their hearts).",0.0,0.762,0.238,0.39444444444444443,-0.03333333333333333
125,verily we have sent thee in truth as a bearer of glad tidings and a warner: but of thee no question shall be asked of the companions of the blazing fire.,0.161,0.739,0.1,1.0,0.5
126,"never will the jews or the christians be satisfied with thee unless thou follow their form of religion. say: ""the guidance of allah,-that is the (only) guidance."" wert thou to follow their desires after the knowledge which hath reached thee, then wouldst thou find neither protector nor helper against allah.",0.0,0.887,0.113,1.0,0.25
127,"those to whom we have sent the book study it as it should be studied: they are the ones that believe therein: those who reject faith therein,- the loss is their own.",0.136,0.788,0.076,1.0,0.6
128,"o children of israel! call to mind the special favour which i bestowed upon you, and that i preferred you to all others (for my message).",0.0,0.803,0.197,0.5714285714285714,0.35714285714285715
129,"then guard yourselves against a day when one soul shall not avail another, nor shall compensation be accepted from her nor shall intercession profit her nor shall anyone be helped (from outside).",0.07,0.869,0.061,0.05,0.0
130,"and remember that abraham was tried by his lord with certain commands, which he fulfilled: he said: ""i will make thee an imam to the nations."" he pleaded: ""and also (imams) from my offspring!"" he answered: ""but my promise is not within the reach of evil-doers.""",0.022,0.843,0.134,0.5714285714285714,0.26785714285714285
131,"remember we made the house a place of assembly for men and a place of safety; and take ye the station of abraham as a place of prayer; and we covenanted with abraham and isma'il, that they should sanctify my house for those who compass it round, or use it as a retreat, or bow, or prostrate themselves (therein in prayer).",0.0,0.928,0.072,0.4,-0.2
132,"and remember abraham said: ""my lord, make this a city of peace, and feed its people with fruits,-such of them as believe in allah and the last day."" he said: ""(yea), and such as reject faith,-for a while will i grant them their pleasure, but will soon drive them to the torment of fire,- an evil destination (indeed)!""",0.163,0.746,0.091,0.5222222222222223,-0.3333333333333333
133,"and remember abraham and isma'il raised the foundations of the house (with this prayer): ""our lord! accept (this service) from us: for thou art the all-hearing, the all-knowing.",0.0,0.903,0.097,0.0,0.0
134,"""our lord! make of us muslims, bowing to thy (will), and of our progeny a people muslim, bowing to thy (will); and show us our place for the celebration of (due) rites; and turn unto us (in mercy); for thou art the oft-returning, most merciful.",0.0,0.94,0.06,0.4375,0.1875
135,"""our lord! send amongst them a messenger of their own, who shall rehearse thy signs to them and instruct them in scripture and wisdom, and sanctify them: for thou art the exalted in might, the wise.""",0.0,0.833,0.167,0.95,0.6499999999999999
136,and who turns away from the religion of abraham but such as debase their souls with folly? him we chose and rendered pure in this world: and he will be in the hereafter in the ranks of the righteous.,0.0,1.0,0.0,0.5,0.10714285714285714
137,"behold! his lord said to him: ""bow (thy will to me):"" he said: ""i bow (my will) to the lord and cherisher of the universe.""",0.0,0.873,0.127,0.0,0.0
138,"and this was the legacy that abraham left to his sons, and so did jacob; ""oh my sons! allah hath chosen the faith for you; then die not except in the faith of islam.""",0.096,0.76,0.144,0.0,0.0
139,"were ye witnesses when death appeared before jacob? behold, he said to his sons: ""what will ye worship after me?"" they said: ""we shall worship thy god and the god of thy fathers, of abraham, isma'il and isaac,- the one (true) allah: to him we bow (in islam).""",0.068,0.728,0.204,0.65,0.35
140,"that was a people that hath passed away. they shall reap the fruit of what they did, and ye of what ye do! of their merits there is no question in your case!",0.06,0.85,0.09,0.0,0.0
141,"they say: ""become jews or christians if ye would be guided (to salvation)."" say thou: ""nay! (i would rather) the religion of abraham the true, and he joined not gods with allah.""",0.0,0.909,0.091,0.65,0.35
142,"say ye: ""we believe in allah, and the revelation given to us, and to abraham, isma'il, isaac, jacob, and the tribes, and that given to moses and jesus, and that given to (all) prophets from their lord: we make no difference between one and another of them: and we bow to allah (in islam).""",0.04,0.96,0.0,0.0,0.0
143,"so if they believe as ye believe, they are indeed on the right path; but if they turn back, it is they who are in schism; but allah will suffice thee as against them, and he is the all-hearing, the all-knowing.",0.0,1.0,0.0,0.26785714285714285,0.14285714285714285
144,(our religion is) the baptism of allah: and who can baptize better than allah? and it is he whom we worship.,0.0,0.788,0.212,0.5,0.5
145,"say: will ye dispute with us about allah, seeing that he is our lord and your lord; that we are responsible for our doings and ye for yours; and that we are sincere (in our faith) in him?",0.061,0.764,0.175,0.525,0.35
146,"or do ye say that abraham, isma'il isaac, jacob and the tribes were jews or christians? say: do ye know better than allah? ah! who is more unjust than those who conceal the testimony they have from allah? but allah is not unmindful of what ye do!",0.068,0.893,0.039,0.5,0.625
147,"that was a people that hath passed away. they shall reap the fruit of what they did, and ye of what ye do! of their merits there is no question in your case:",0.061,0.857,0.083,0.0,0.0
148,"the fools among the people will say: ""what hath turned them from the qibla to which they were used?"" say: to allah belong both east and west: he guideth whom he will to a way that is straight.",0.078,0.876,0.046,0.4,0.2
149,"thus, have we made of you an ummat justly balanced, that ye might be witnesses over the nations, and the messenger a witness over yourselves; and we appointed the qibla to which thou wast used, only to test those who followed the messenger from those who would turn on their heels (from the faith). indeed it was (a change) momentous, except to those guided by allah. and never would allah make your faith of no effect. for allah is to all people most surely full of kindness, most merciful.",0.022,0.857,0.12,0.6375,0.3375
150,"we see the turning of thy face (for guidance to the heavens: now shall we turn thee to a qibla that shall please thee. turn then thy face in the direction of the sacred mosque: wherever ye are, turn your faces in that direction. the people of the book know well that that is the truth from their lord. nor is allah unmindful of what they do.",0.0,0.87,0.13,0.0,0.0
151,"even if thou wert to bring to the people of the book all the signs (together), they would not follow thy qibla; nor art thou going to follow their qibla; nor indeed will they follow each other's qibla. if thou after the knowledge hath reached thee, wert to follow their (vain) desires,-then wert thou indeed (clearly) in the wrong.",0.091,0.846,0.063,0.5527777777777777,-0.17500000000000002
152,the people of the book know this as they know their own sons; but some of them conceal the truth which they themselves know.,0.0,0.886,0.114,1.0,0.6
153,the truth is from thy lord; so be not at all in doubt.,0.158,0.696,0.146,0.0,0.0
154,"to each is a goal to which allah turns him; then strive together (as in a race) towards all that is good. wheresoever ye are, allah will bring you together. for allah hath power over all things.",0.0,0.925,0.075,0.6000000000000001,0.7
155,"from whencesoever thou startest forth, turn thy face in the direction of the sacred mosque; that is indeed the truth from the lord. and allah is not unmindful of what ye do.",0.0,0.931,0.069,0.0,0.0
156,"so from whencesoever thou startest forth, turn thy face in the direction of the sacred mosque; and wheresoever ye are, turn your face thither: that there be no ground of dispute against you among the people, except those of them that are bent on wickedness; so fear them not, but fear me; and that i may complete my favours on you, and ye may (consent to) be guided;",0.103,0.777,0.121,0.4,0.1
157,"a similar (favour have ye already received) in that we have sent among you a messenger of your own, rehearsing to you our signs, and sanctifying you, and instructing you in scripture and wisdom, and in new knowledge.",0.0,0.851,0.149,0.6181818181818182,0.24545454545454545
